max_exponent,state,probability
3,"[2, 8]",0.08190000000000001
3,"[2, 2, 8]",0.7444710000000001
3,"[4, 8]",0.009100000000000002
3,"[2, 4, 8]",0.15634800000000007
3,"[4, 4, 8]",0.008181000000000004
4,"[2, 2, 16]",0.07363637100000002
4,"[2, 4, 16]",0.6864545403900003
4,"[2, 2, 4, 16]",0.14072727132000007
4,"[4, 4, 16]",0.07536363571000003
4,"[2, 4, 4, 16]",0.015636363480000005
4,"[2, 8, 16]",0.007363636290000004
4,"[4, 8, 16]",0.0008181818100000003
5,"[2, 4, 32]",0.06627272727272734
5,"[2, 2, 4, 32]",0.6178090909090911
5,"[4, 4, 32]",0.007363636363636375
5,"[2, 4, 4, 32]",0.19530000000000008
5,"[2, 8, 32]",0.06782727272727275
5,"[2, 2, 8, 32]",0.020700000000000007
5,"[4, 4, 4, 32]",0.01407272727272728
5,"[4, 8, 32]",0.007536363636363641
5,"[2, 4, 8, 32]",0.003036363636363638
5,"[4, 4, 8, 32]",8.181818181818188e-05
6,"[2, 2, 4, 64]",0.05964545454545461
6,"[2, 4, 4, 64]",0.5626554545454553
6,"[2, 8, 64]",0.0066272727272727325
6,"[2, 2, 8, 64]",0.23681454545454567
6,"[4, 4, 4, 64]",0.06178090909090916
6,"[4, 8, 64]",0.0007363636363636373
6,"[2, 4, 8, 64]",0.06439090909090914
6,"[2, 2, 4, 8, 64]",0.0027327272727272756
6,"[4, 4, 8, 64]",0.004230909090909093
6,"[2, 4, 4, 8, 64]",0.0003036363636363639
6,"[2, 8, 8, 64]",7.363636363636375e-05
6,"[4, 8, 8, 64]",8.181818181818191e-06
7,"[2, 4, 4, 128]",0.053680909090909154
7,"[2, 2, 8, 128]",0.5123544545454548
7,"[4, 4, 4, 128]",0.005964545454545459
7,"[2, 4, 8, 128]",0.32632690909090933
7,"[2, 2, 4, 8, 128]",0.05795181818181822
7,"[4, 4, 8, 128]",0.02993318181818184
7,"[2, 4, 4, 8, 128]",0.008898545454545463
7,"[2, 8, 8, 128]",0.0038078181818181856
7,"[2, 2, 8, 8, 128]",0.00027327272727272747
7,"[2, 2, 16, 128]",6.62727272727273e-05
7,"[4, 4, 4, 8, 128]",0.00027327272727272747
7,"[4, 8, 8, 128]",0.00042309090909090937
7,"[2, 4, 8, 8, 128]",3.036363636363638e-05
7,"[2, 4, 16, 128]",1.4727272727272736e-05
7,"[4, 4, 16, 128]",8.181818181818191e-07
8,"[2, 2, 8, 256]",0.04831281818181823
8,"[2, 4, 8, 256]",0.47185519090909117
8,"[2, 2, 4, 8, 256]",0.2936942181818185
8,"[4, 4, 8, 256]",0.05183190000000004
8,"[2, 4, 4, 8, 256]",0.08478932727272734
8,"[2, 8, 8, 256]",0.026939863636363654
8,"[2, 2, 8, 8, 256]",0.008008690909090914
8,"[2, 2, 16, 256]",0.0034270363636363676
8,"[4, 4, 4, 8, 256]",0.0057951818181818235
8,"[4, 8, 8, 256]",0.002993318181818185
8,"[2, 4, 8, 8, 256]",0.001135800000000001
8,"[2, 4, 16, 256]",0.001067154545454546
8,"[2, 2, 4, 16, 256]",4.058181818181822e-05
8,"[4, 4, 8, 8, 256]",2.7327272727272746e-05
8,"[4, 4, 16, 256]",7.626363636363645e-05
8,"[2, 4, 4, 16, 256]",4.509090909090914e-06
8,"[2, 8, 16, 256]",7.363636363636371e-07
8,"[4, 8, 16, 256]",8.181818181818193e-08
9,"[2, 4, 8, 512]",0.04348153636363641
9,"[2, 2, 4, 8, 512]",0.4246696718181824
9,"[4, 4, 8, 512]",0.004831281818181823
9,"[2, 4, 4, 8, 512]",0.3115103154545456
9,"[2, 8, 8, 512]",0.046648710000000065
9,"[2, 2, 8, 8, 512]",0.07631039454545462
9,"[2, 2, 16, 512]",0.024245877272727295
9,"[4, 4, 4, 8, 512]",0.029369421818181828
9,"[4, 8, 8, 512]",0.005183190000000004
9,"[2, 4, 8, 8, 512]",0.01369459636363638
9,"[2, 4, 16, 512]",0.015680127272727287
9,"[2, 2, 4, 16, 512]",0.0019826590909090922
9,"[4, 4, 8, 8, 512]",0.0005795181818181826
9,"[4, 4, 16, 512]",0.0014429045454545468
9,"[2, 4, 4, 16, 512]",0.0002568190909090911
9,"[2, 8, 16, 512]",9.323181818181824e-05
9,"[2, 2, 8, 16, 512]",4.720909090909093e-06
9,"[4, 4, 4, 16, 512]",4.05818181818182e-06
9,"[4, 8, 16, 512]",1.0359090909090916e-05
9,"[2, 4, 8, 16, 512]",5.981818181818192e-07
9,"[4, 4, 8, 16, 512]",8.181818181818188e-09
10,"[2, 2, 4, 8, 1024]",0.03913338272727277
10,"[2, 4, 4, 8, 1024]",0.3865508582727277
10,"[2, 8, 8, 1024]",0.00434815363636364
10,"[2, 2, 8, 8, 1024]",0.2803592839090912
10,"[2, 2, 16, 1024]",0.04198383900000005
10,"[4, 4, 4, 8, 1024]",0.042466967181818256
10,"[4, 8, 8, 1024]",0.00048312818181818246
10,"[2, 4, 8, 8, 1024]",0.05758351118181823
10,"[2, 4, 16, 1024]",0.0998303866363637
10,"[2, 2, 4, 16, 1024]",0.02643725127272729
10,"[4, 4, 8, 8, 1024]",0.002936942181818186
10,"[4, 4, 16, 1024]",0.010573946181818191
10,"[2, 4, 4, 16, 1024]",0.004721865545454549
10,"[2, 8, 16, 1024]",0.0018201804545454562
10,"[2, 2, 8, 16, 1024]",0.0003150458181818185
10,"[4, 4, 4, 16, 1024]",0.00019826590909090925
10,"[4, 8, 16, 1024]",0.00020224227272727297
10,"[2, 4, 8, 16, 1024]",5.2229454545454584e-05
10,"[2, 2, 4, 8, 16, 1024]",5.38363636363637e-07
10,"[4, 4, 8, 16, 1024]",1.913818181818183e-06
10,"[2, 4, 4, 8, 16, 1024]",5.981818181818185e-08
10,"[2, 8, 8, 16, 1024]",7.363636363636372e-09
10,"[4, 8, 8, 16, 1024]",8.181818181818187e-10
11,"[2, 4, 4, 8, 2048]",0.0352200444545455
11,"[2, 2, 8, 8, 2048]",0.347895772445455
11,"[2, 2, 16, 2048]",0.0039133382727272745
11,"[4, 4, 4, 8, 2048]",0.0039133382727272745
11,"[2, 4, 8, 8, 2048]",0.07687535629090915
11,"[2, 4, 16, 2048]",0.2909784413454548
11,"[2, 2, 4, 16, 2048]",0.14167250803636372
11,"[4, 4, 8, 8, 2048]",0.0042466967181818225
11,"[4, 4, 16, 2048]",0.03228262510909094
11,"[2, 4, 4, 16, 2048]",0.039534915927272755
11,"[2, 8, 16, 2048]",0.012159799527272743
11,"[2, 2, 8, 16, 2048]",0.0058878414000000075
11,"[4, 4, 4, 16, 2048]",0.0026437251272727297
11,"[4, 8, 16, 2048]",0.001351088836363638
11,"[2, 4, 8, 16, 2048]",0.0012982032000000009
11,"[2, 2, 4, 8, 16, 2048]",4.700650909090917e-05
11,"[4, 4, 8, 16, 2048]",7.15554000000001e-05
11,"[2, 4, 4, 8, 16, 2048]",5.707472727272732e-06
11,"[2, 8, 8, 16, 2048]",1.7224363636363654e-06
11,"[2, 2, 8, 8, 16, 2048]",5.38363636363637e-08
11,"[2, 2, 16, 16, 2048]",6.627272727272734e-09
11,"[4, 4, 4, 8, 16, 2048]",5.38363636363637e-08
11,"[4, 8, 8, 16, 2048]",1.9138181818181834e-07
11,"[2, 4, 8, 8, 16, 2048]",5.981818181818188e-09
11,"[2, 4, 16, 16, 2048]",1.4727272727272738e-09
11,"[4, 4, 16, 16, 2048]",8.18181818181819e-11
